code,name_ja,name_en,population,gdp_nominal,gdp_ppp_per_capita,gdp_ppp,y_gdp,y_ppp,y_population,surface,population_density,y_net,net,y_life,life,y_young,young,y_forest,forest,y_tas,tas,capital_en,capital_ja,name_ja_hira
KIR,キリバス,Kiribati,132530,279208903.3,3195.870398,423548703.9,2023,2023,2023,810.0,163.617284,2023,88.0,2022,67.661,2023,34.92894089,2022,1.456790123,2023,27.78,Tarawa,タラワ,きりばす
KGZ,キルギス,Kyrgyzstan,7073516,13987627909.0,6426.890833,45460715138.0,2023,2023,2023,199950.0,35.37642411,2023,88.4701,2022,72.04878049,2023,32.67167507,2022,7.048279458,2023,4.28,Bishkek,ビシュケク,きるぎす
GIN,ギニア,Guinea,14405468,22199409741.0,3949.340135,56892092937.0,2023,2023,2023,245860.0,58.59215814,2023,26.5014,2022,58.985,2023,41.24293983,2022,24.86163112,2023,26.6,Conakry,コナクリ,ぎにあ
GNB,ギニアビサウ,Guinea-Bissau,2153339,2048348108.0,2578.804534,5553040377.0,2023,2023,2023,36130.0,59.5997509,2023,32.4661,2022,59.861,2023,39.24235803,2022,69.8125889,2023,28.7,Bissau,ビサウ,ぎにあびさう
GRC,ギリシャ,Greece,10242908,243498333238.0,37406.07854,383147021135.0,2023,2023,2023,131960.0,77.62130949,2023,85.0102,2022,80.63658537,2023,13.58681472,2022,30.26997673,2023,15.71,Athens,アテネ,ぎりしゃ
KWT,クウェート,Kuwait,4838782,163704878876.0,46598.74312,225481159421.0,2023,2023,2023,17820.0,271.5365881,2023,99.7473,2022,80.264,2023,18.60284454,2022,0.3507295174,2023,27.52,Kuwait City,クウェートシティ,くうぇーと
COK,クック諸島,Cook Islands,14222,0.0,0.0,0.0,0,0,2023,0.0,0.0,2016,54.0,0,0.0,0,0.0,0,0.0,2023,24.66,Avarua,アバルア,くっくしょとう
HRV,クロアチア,Croatia,3896023,84393795502.0,40716.92309,158634068842.0,2023,2023,2023,88070.0,44.23779948,2023,83.2412,2022,77.57560976,2023,14.13855692,2022,34.74106505,2023,13.46,Zagreb,ザグレブ,くろあちあ
GTM,グアテマラ,Guatemala,18124838,104450210572.0,12389.38587,224555611846.0,2023,2023,2023,108890.0,166.4508954,2023,56.0535,2022,68.674,2023,32.13774744,2022,32.7043673,2023,24.35,Guatemala City,グアテマラシティ,ぐあてまら
GLP,グアドループ,Guadeloupe,376517,0.0,0.0,0.0,0,0,2023,0.0,0.0,2009,23.4214,0,0.0,0,0.0,0,0.0,2023,25.98,Basse-Terre,バステール,ぐあどるーぷ
GUM,グアム,Guam,166506,6910000000.0,0.0,0.0,2022,0,2023,540.0,308.3444444,2017,80.5055,2022,78.33,2023,26.02000523,2022,51.85185185,2023,27.67,Hagatna,ハガニア,ぐあむ
